player,score
"['NA_RL', 'NA_ifelse', 'Phongcu', 'random']","[0, 2, 5, 6]"
"['PhongMinhAnh', 'Phongcu', 'NA_RL', 'random']","[0, 1, 2, 2]"
"['NA_ifelse', 'Hieu', 'M_Anh', 'PhongMinhAnh']","[0, 2, 2, 2]"
"['NA_ifelse', 'Hieu', 'M_Anh', 'random']","[0, 2, 3, 5]"
"['NA_ifelse', 'M_Anh', 'Phongcu', 'Hieu']","[0, 6, 6, 10]"
"['PhongMinhAnh', 'Hieu', 'M_Anh', 'random']","[0, 1, 1, 5]"
"['PhongMinhAnh', 'Phongcu', 'Hieu', 'M_Anh']","[0, 2, 6, 9]"
"['Hieu', 'Phongcu', 'random', 'M_Anh']","[0, 2, 7, 8]"
"['NA_ifelse', 'PhongMinhAnh', 'Hieu', 'random']","[0, 3, 6, 8]"
"['Phongcu', 'PhongMinhAnh', 'NA_ifelse', 'Hieu']","[0, 2, 3, 4]"
"['Phongcu', 'Hieu', 'random', 'NA_ifelse']","[0, 6, 7, 8]"
"['Phongcu', 'Hieu', 'random', 'PhongMinhAnh']","[0, 3, 3, 5]"
"['PhongMinhAnh', 'NA_ifelse', 'M_Anh', 'random']","[0, 1, 3, 6]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'NA_ifelse']","[0, 1, 1, 6]"
"['NA_ifelse', 'Phongcu', 'M_Anh', 'random']","[0, 1, 2, 6]"
"['PhongMinhAnh', 'M_Anh', 'Phongcu', 'random']","[0, 3, 4, 8]"
"['Phongcu', 'NA_ifelse', 'random', 'PhongMinhAnh']","[0, 12, 12, 13]"
"['NA_ifelse', 'M_Anh', 'Hieu', 'NA_RL']","[0, 1, 5, 8]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'M_Anh']","[0, 2, 3, 4]"
"['Hieu', 'M_Anh', 'random', 'NA_RL']","[0, 1, 3, 6]"
"['Hieu', 'NA_RL', 'M_Anh', 'Phongcu']","[0, 3, 4, 7]"
"['PhongMinhAnh', 'Hieu', 'NA_RL', 'NA_ifelse']","[0, 1, 5, 5]"
"['Hieu', 'NA_RL', 'NA_ifelse', 'random']","[0, 3, 4, 6]"
"['Hieu', 'NA_RL', 'Phongcu', 'NA_ifelse']","[0, 5, 9, 12]"
"['NA_RL', 'PhongMinhAnh', 'Hieu', 'random']","[0, 3, 5, 9]"
"['Phongcu', 'Hieu', 'PhongMinhAnh', 'NA_RL']","[0, 2, 6, 8]"
"['Phongcu', 'Hieu', 'NA_RL', 'random']","[0, 2, 4, 9]"
"['NA_ifelse', 'M_Anh', 'PhongMinhAnh', 'NA_RL']","[0, 2, 3, 11]"
"['NA_ifelse', 'M_Anh', 'random', 'NA_RL']","[0, 2, 2, 9]"
"['NA_ifelse', 'Phongcu', 'NA_RL', 'M_Anh']","[0, 3, 5, 6]"
